#TTc	alpha_s	alpha_high	err
1.02843826430619	2.94859813084112	3.38967136150235	0.441073230661226
1.07305754871313	2.11214953271028	2.46478873239437	0.352639199684085
1.11334002818316	1.60747663551402	1.89201877934272	0.284542143828704
1.16228396961402	1.43457943925234	1.63849765258216	0.203918213329823
1.23198869434231	1.24766355140187	1.36619718309859	0.118533631696721
1.36135181975737	1.00934579439252	1.16901408450704	0.159668290114519
1.50140510860234	0.883177570093458	0.97183098591549	0.0886534158220322
1.6519784900954	0.80373831775701	0.887323943661972	0.0835856259049619
1.81284115388976	0.682242990654206	0.765258215962441	0.0830152253082352
1.98436968528807	0.663551401869159	0.718309859154929	0.0547584572857699
4.01151622151314	0.439252336448598	0.492957746478873	0.0537054100302745
