   Tcen(MeV)       Tup(MeV)        Tdown(MeV)      chi2           chi4             chi6           chi8             chi10
   1.5076183e+02   1.5222672e+02   1.4932486e+02   6.1931665e-02   5.6313572e-02   3.5834446e-02  -2.2095354e-02  -7.6638763e-01
   1.5156375e+02   1.5303644e+02   1.5011914e+02   6.4310413e-02   5.7573222e-02   3.3280712e-02  -3.3868281e-02  -9.0936164e-01
   1.5236568e+02   1.5384615e+02   1.5091342e+02   6.6747808e-02   5.8730634e-02   3.0262528e-02  -4.7446408e-02  -1.0569981e+00
   1.5316760e+02   1.5465587e+02   1.5170770e+02   6.9239192e-02   5.9768172e-02   2.6714804e-02  -6.0702032e-02  -1.2186924e+00
   1.5396953e+02   1.5546559e+02   1.5250199e+02   7.1778886e-02   6.0665350e-02   2.2696696e-02  -7.4819916e-02  -1.3656220e+00
   1.5477145e+02   1.5627530e+02   1.5329627e+02   7.4360048e-02   6.1403943e-02   1.8234496e-02  -8.9448144e-02  -1.4875893e+00
   1.5557338e+02   1.5708502e+02   1.5409055e+02   7.6974770e-02   6.1967201e-02   1.3377482e-02  -1.0405434e-01  -1.5783081e+00
   1.5637530e+02   1.5789474e+02   1.5488483e+02   7.9614154e-02   6.2341052e-02   8.2042647e-03  -1.1842758e-01  -1.6220059e+00
   1.5717723e+02   1.5870445e+02   1.5567911e+02   8.2268494e-02   6.2514961e-02   2.8220428e-03  -1.3262672e-01  -1.5959265e+00
   1.5797915e+02   1.5951417e+02   1.5647339e+02   8.4927494e-02   6.2483278e-02  -2.6477719e-03  -1.4680939e-01  -1.4721917e+00
   1.5878107e+02   1.6032389e+02   1.5726767e+02   8.7580563e-02   6.2246446e-02  -8.1171045e-03  -1.5924190e-01  -1.2687439e+00
   1.5958300e+02   1.6113360e+02   1.5806195e+02   9.0217184e-02   6.1809429e-02  -1.3437612e-02  -1.7033784e-01  -9.6057039e-01
   1.6038492e+02   1.6194332e+02   1.5885624e+02   9.2827233e-02   6.1182377e-02  -1.8423803e-02  -1.8277801e-01  -4.6752585e-01
   1.6118685e+02   1.6275304e+02   1.5965052e+02   9.5401243e-02   6.0385684e-02  -2.3231129e-02  -1.8446435e-01  -7.2212600e-02
   1.6198877e+02   1.6356275e+02   1.6044480e+02   9.7930864e-02   5.9436562e-02  -2.7631714e-02  -1.7936551e-01   2.8393610e-01
   1.6279070e+02   1.6437247e+02   1.6123908e+02   1.0040894e-01   5.8355079e-02  -3.1353508e-02  -1.7635880e-01   8.0353458e-01
   1.6359262e+02   1.6518219e+02   1.6203336e+02   1.0282953e-01   5.7169060e-02  -3.4495528e-02  -1.6974059e-01   1.1853334e+00
   1.6439455e+02   1.6599190e+02   1.6282764e+02   1.0518805e-01   5.5910030e-02  -3.7421581e-02  -1.4267801e-01   1.4367260e+00
   1.6519647e+02   1.6680162e+02   1.6362192e+02   1.0748155e-01   5.4587431e-02  -3.9395070e-02  -1.2417475e-01   1.7148361e+00
   1.6599840e+02   1.6761134e+02   1.6441620e+02   1.0970778e-01   5.3233764e-02  -4.0896666e-02  -9.7874567e-02   1.7782844e+00
   1.6680032e+02   1.6842105e+02   1.6521048e+02   1.1186582e-01   5.1865820e-02  -4.1819038e-02  -7.0330338e-02   1.7439412e+00
   1.6760225e+02   1.6923077e+02   1.6600477e+02   1.1395551e-01   5.0500717e-02  -4.2215660e-02  -4.2741877e-02   1.6207214e+00
   1.6840417e+02   1.7004049e+02   1.6679905e+02   1.1597741e-01   4.9152281e-02  -4.2134771e-02  -1.7053009e-02   1.4496951e+00
   1.6920609e+02   1.7085020e+02   1.6759333e+02   1.1793258e-01   4.7831617e-02  -4.1650698e-02   6.1607402e-03   1.2399800e+00
   1.7000802e+02   1.7165992e+02   1.6838761e+02   1.1982246e-01   4.6546898e-02  -4.0823568e-02   2.5725018e-02   1.0264088e+00
   1.7080994e+02   1.7246964e+02   1.6918189e+02   1.2164874e-01   4.5304513e-02  -3.9741833e-02   4.1917767e-02   8.1634831e-01
   1.7161187e+02   1.7327935e+02   1.6997617e+02   1.2341332e-01   4.4108260e-02  -3.8470254e-02   5.4942553e-02   6.1196272e-01
   1.7241379e+02   1.7408907e+02   1.7077045e+02   1.2511816e-01   4.2960404e-02  -3.7058269e-02   6.4473716e-02   4.3543408e-01
   1.7321572e+02   1.7489879e+02   1.7156473e+02   1.2676532e-01   4.1862073e-02  -3.5563198e-02   7.1155647e-02   2.8305994e-01
   1.7401764e+02   1.7570850e+02   1.7235902e+02   1.2835686e-01   4.0813288e-02  -3.4024158e-02   7.5244489e-02   1.5966748e-01
   1.7481957e+02   1.7651822e+02   1.7315330e+02   1.2989483e-01   3.9813418e-02  -3.2480192e-02   7.7460017e-02   5.5908514e-02
   1.7562149e+02   1.7732794e+02   1.7394758e+02   1.3138128e-01   3.8861229e-02  -3.0954827e-02   7.8082389e-02  -2.7214571e-02
   1.7642342e+02   1.7813765e+02   1.7474186e+02   1.3281821e-01   3.7955067e-02  -2.9462326e-02   7.7208096e-02  -8.4162292e-02
   1.7722534e+02   1.7894737e+02   1.7553614e+02   1.3420759e-01   3.7093294e-02  -2.8027553e-02   7.5744614e-02  -1.3521637e-01
   1.7802727e+02   1.7975709e+02   1.7633042e+02   1.3555133e-01   3.6273807e-02  -2.6648978e-02   7.3436978e-02  -1.6903310e-01
   1.7882919e+02   1.8056680e+02   1.7712470e+02   1.3685131e-01   3.5494614e-02  -2.5331850e-02   7.0445413e-02  -1.8545752e-01
   1.7963111e+02   1.8137652e+02   1.7791898e+02   1.3810934e-01   3.4753929e-02  -2.4093986e-02   6.7723184e-02  -2.0959514e-01
   1.8043304e+02   1.8218623e+02   1.7871326e+02   1.3932719e-01   3.4049409e-02  -2.2912992e-02   6.4276498e-02  -2.1221758e-01
   1.8123496e+02   1.8299595e+02   1.7950755e+02   1.4050655e-01   3.3379404e-02  -2.1804461e-02   6.0972531e-02  -2.1578716e-01
   1.8203689e+02   1.8380567e+02   1.8030183e+02   1.4164906e-01   3.2742006e-02  -2.0763925e-02   5.7761120e-02  -2.1811865e-01
   1.8283881e+02   1.8461538e+02   1.8109611e+02   1.4275630e-01   3.2135369e-02  -1.9784522e-02   5.4484112e-02  -2.1465337e-01
   1.8364074e+02   1.8542510e+02   1.8189039e+02   1.4382980e-01   3.1557829e-02  -1.8865395e-02   5.1278331e-02  -2.0908301e-01
   1.8444266e+02   1.8623482e+02   1.8268467e+02   1.4487102e-01   3.1007823e-02  -1.8006046e-02   4.8276309e-02  -2.0455587e-01
   1.8524459e+02   1.8704453e+02   1.8347895e+02   1.4588136e-01   3.0483792e-02  -1.7201330e-02   4.5396969e-02  -1.9866223e-01
   1.8604651e+02   1.8785425e+02   1.8427323e+02   1.4686217e-01   2.9984252e-02  -1.6446053e-02   4.2579609e-02  -1.9039648e-01
   1.8684844e+02   1.8866397e+02   1.8506751e+02   1.4781472e-01   2.9507897e-02  -1.5739828e-02   3.9942953e-02  -1.8291248e-01
   1.8765036e+02   1.8947368e+02   1.8586180e+02   1.4874024e-01   2.9053426e-02  -1.5078638e-02   3.7441572e-02  -1.7498959e-01
   1.8845229e+02   1.9028340e+02   1.8665608e+02   1.4963991e-01   2.8619619e-02  -1.4458583e-02   3.5003077e-02  -1.6377998e-01
   1.8925421e+02   1.9109312e+02   1.8745036e+02   1.5051485e-01   2.8205385e-02  -1.3881272e-02   3.2929617e-02  -1.6052319e-01
   1.9005613e+02   1.9190283e+02   1.8824464e+02   1.5136612e-01   2.7809562e-02  -1.3336364e-02   3.0763726e-02  -1.5053785e-01
   1.9085806e+02   1.9271255e+02   1.8903892e+02   1.5219474e-01   2.7431225e-02  -1.2825891e-02   2.8701426e-02  -1.3879113e-01
   1.9165998e+02   1.9352227e+02   1.8983320e+02   1.5300168e-01   2.7069429e-02  -1.2349467e-02   2.6926420e-02  -1.3279207e-01
   1.9246191e+02   1.9433198e+02   1.9062748e+02   1.5378785e-01   2.6723261e-02  -1.1901405e-02   2.5208134e-02  -1.2485321e-01
   1.9326383e+02   1.9514170e+02   1.9142176e+02   1.5455414e-01   2.6391913e-02  -1.1481463e-02   2.3660802e-02  -1.1914045e-01
   1.9406576e+02   1.9595142e+02   1.9221604e+02   1.5530137e-01   2.6074574e-02  -1.1084791e-02   2.2108304e-02  -1.1002900e-01
   1.9486768e+02   1.9676113e+02   1.9301033e+02   1.5603035e-01   2.5770562e-02  -1.0712834e-02   2.0725994e-02  -1.0310654e-01
   1.9566961e+02   1.9757085e+02   1.9380461e+02   1.5674183e-01   2.5479181e-02  -1.0363081e-02   1.9474065e-02  -9.7456325e-02
   1.9647153e+02   1.9838057e+02   1.9459889e+02   1.5743652e-01   2.5199772e-02  -1.0032539e-02   1.8278170e-02  -9.1146138e-02
   1.9727346e+02   1.9919028e+02   1.9539317e+02   1.5811512e-01   2.4931744e-02  -9.7200331e-03   1.7141107e-02  -8.4194713e-02
   1.9807538e+02   2.0000000e+02   1.9618745e+02   1.5877826e-01   2.4674554e-02  -9.4252739e-03   1.6113453e-02  -7.8179393e-02
   1.9887731e+02   2.0080972e+02   1.9698173e+02   1.5942657e-01   2.4427670e-02  -9.1469949e-03   1.5206876e-02  -7.3981685e-02
   1.9967923e+02   2.0161943e+02   1.9777601e+02   1.6006064e-01   2.4190581e-02  -8.8826665e-03   1.4340739e-02  -6.9139758e-02
   2.0048115e+02   2.0242915e+02   1.9857029e+02   1.6068103e-01   2.3962831e-02  -8.6314094e-03   1.3517387e-02  -6.3797215e-02
   2.0128308e+02   2.0323887e+02   1.9936458e+02   1.6128826e-01   2.3743994e-02  -8.3928246e-03   1.2762777e-02  -5.8736160e-02
   2.0208500e+02   2.0404858e+02   2.0015886e+02   1.6188285e-01   2.3533660e-02  -8.1661694e-03   1.2092745e-02  -5.4777470e-02
   2.0288693e+02   2.0485830e+02   2.0095314e+02   1.6246529e-01   2.3331436e-02  -7.9498697e-03   1.1468804e-02  -5.0983886e-02
   2.0368885e+02   2.0566802e+02   2.0174742e+02   1.6303602e-01   2.3136966e-02  -7.7433884e-03   1.0891818e-02  -4.7234910e-02
   2.0449078e+02   2.0647773e+02   2.0254170e+02   1.6359549e-01   2.2949907e-02  -7.5458460e-03   1.0351808e-02  -4.3341396e-02
   2.0529270e+02   2.0728745e+02   2.0333598e+02   1.6414412e-01   2.2769944e-02  -7.3570831e-03   9.8796597e-03  -4.0555669e-02
   2.0609463e+02   2.0809717e+02   2.0413026e+02   1.6468231e-01   2.2596764e-02  -7.1755906e-03   9.4143332e-03  -3.6740024e-02
   2.0689655e+02   2.0890688e+02   2.0492454e+02   1.6521043e-01   2.2430092e-02  -7.0017475e-03   9.0137449e-03  -3.4115243e-02
   2.0769848e+02   2.0971660e+02   2.0571882e+02   1.6572885e-01   2.2269650e-02  -6.8343560e-03   8.6331496e-03  -3.1164606e-02
   2.0850040e+02   2.1052632e+02   2.0651311e+02   1.6623791e-01   2.2115187e-02  -6.6734189e-03   8.3001894e-03  -2.8994225e-02
   2.0930233e+02   2.1133603e+02   2.0730739e+02   1.6673794e-01   2.1966454e-02  -6.5179278e-03   7.9757494e-03  -2.6250902e-02
   2.1010425e+02   2.1214575e+02   2.0810167e+02   1.6722925e-01   2.1823231e-02  -6.3681708e-03   7.7013153e-03  -2.4525472e-02
   2.1090617e+02   2.1295547e+02   2.0889595e+02   1.6771216e-01   2.1685292e-02  -6.2231817e-03   7.4351711e-03  -2.2327989e-02
   2.1170810e+02   2.1376518e+02   2.0969023e+02   1.6818693e-01   2.1552434e-02  -6.0830094e-03   7.2007934e-03  -2.0620653e-02
   2.1251002e+02   2.1457490e+02   2.1048451e+02   1.6865386e-01   2.1424456e-02  -5.9470133e-03   6.9746638e-03  -1.8589199e-02
   2.1331195e+02   2.1538462e+02   2.1127879e+02   1.6911319e-01   2.1301177e-02  -5.8153716e-03   6.7840906e-03  -1.7308254e-02
   2.1411387e+02   2.1619433e+02   2.1207307e+02   1.6956518e-01   2.1182413e-02  -5.6874844e-03   6.6052575e-03  -1.5953188e-02
   2.1491580e+02   2.1700405e+02   2.1286736e+02   1.7001006e-01   2.1067995e-02  -5.5631252e-03   6.4362362e-03  -1.4482489e-02
   2.1571772e+02   2.1781377e+02   2.1366164e+02   1.7044807e-01   2.0957760e-02  -5.4421395e-03   6.2793315e-03  -1.3032673e-02
   2.1651965e+02   2.1862348e+02   2.1445592e+02   1.7087943e-01   2.0851554e-02  -5.3243365e-03   6.1275574e-03  -1.1129083e-02
   2.1732157e+02   2.1943320e+02   2.1525020e+02   1.7130434e-01   2.0749231e-02  -5.2100964e-03   6.0383673e-03  -1.1964409e-02
   2.1812350e+02   2.2024291e+02   2.1604448e+02   1.7172300e-01   2.0650639e-02  -5.0979367e-03   5.8882363e-03  -9.4721450e-03
   2.1892542e+02   2.2105263e+02   2.1683876e+02   1.7213561e-01   2.0555654e-02  -4.9891226e-03   5.7950570e-03  -9.1066855e-03
   2.1972735e+02   2.2186235e+02   2.1763304e+02   1.7254234e-01   2.0464140e-02  -4.8829341e-03   5.7119089e-03  -8.9061672e-03
   2.2052927e+02   2.2267206e+02   2.1842732e+02   1.7294337e-01   2.0375966e-02  -4.7788496e-03   5.6092289e-03  -7.6800712e-03
   2.2133119e+02   2.2348178e+02   2.1922160e+02   1.7333888e-01   2.0291020e-02  -4.6774035e-03   5.5301404e-03  -7.1928856e-03
   2.2213312e+02   2.2429150e+02   2.2001589e+02   1.7372902e-01   2.0209183e-02  -4.5781759e-03   5.4510939e-03  -6.4834406e-03
   2.2293504e+02   2.2510121e+02   2.2081017e+02   1.7411394e-01   2.0130344e-02  -4.4811579e-03   5.3774154e-03  -5.8280517e-03
   2.2373697e+02   2.2591093e+02   2.2160445e+02   1.7449380e-01   2.0054397e-02  -4.3862944e-03   5.3114803e-03  -5.3782395e-03
   2.2453889e+02   2.2672065e+02   2.2239873e+02   1.7486873e-01   1.9981239e-02  -4.2935253e-03   5.2526273e-03  -5.0881147e-03
   2.2534082e+02   2.2753036e+02   2.2319301e+02   1.7523887e-01   1.9910769e-02  -4.2026864e-03   5.1927483e-03  -4.6319468e-03
   2.2614274e+02   2.2834008e+02   2.2398729e+02   1.7560436e-01   1.9842893e-02  -4.1138564e-03   5.1429896e-03  -4.5497476e-03
   2.2694467e+02   2.2914980e+02   2.2478157e+02   1.7596531e-01   1.9777518e-02  -4.0267713e-03   5.0842244e-03  -3.9041064e-03
   2.2774659e+02   2.2995951e+02   2.2557585e+02   1.7632184e-01   1.9714557e-02  -3.9416157e-03   5.0373653e-03  -3.7784774e-03
   2.2854852e+02   2.3076923e+02   2.2637014e+02   1.7667408e-01   1.9653922e-02  -3.8581221e-03   4.9833276e-03  -3.2579157e-03
   2.2935044e+02   2.3157895e+02   2.2716442e+02   1.7702213e-01   1.9595533e-02  -3.7765413e-03   4.9458501e-03  -3.4821435e-03
   2.3015237e+02   2.3238866e+02   2.2795870e+02   1.7736610e-01   1.9539308e-02  -3.6966272e-03   4.9064652e-03  -3.5331379e-03
   2.3095429e+02   2.3319838e+02   2.2875298e+02   1.7770608e-01   1.9485170e-02  -3.6182985e-03   4.8622290e-03  -3.3656710e-03
   2.3175621e+02   2.3400810e+02   2.2954726e+02   1.7804218e-01   1.9433045e-02  -3.5415612e-03   4.8148188e-03  -2.9821079e-03
   2.3255814e+02   2.3481781e+02   2.3034154e+02   1.7837450e-01   1.9382861e-02  -3.4664848e-03   4.7733864e-03  -2.8806230e-03
   2.3336006e+02   2.3562753e+02   2.3113582e+02   1.7870311e-01   1.9334549e-02  -3.3929755e-03   4.7330470e-03  -2.8494701e-03
   2.3416199e+02   2.3643725e+02   2.3193010e+02   1.7902812e-01   1.9288040e-02  -3.3209683e-03   4.6903834e-03  -2.7504012e-03
   2.3496391e+02   2.3724696e+02   2.3272438e+02   1.7934960e-01   1.9243271e-02  -3.2505619e-03   4.6545467e-03  -2.9673217e-03
   2.3576584e+02   2.3805668e+02   2.3351867e+02   1.7966763e-01   1.9200178e-02  -3.1816596e-03   4.6181642e-03  -3.1337973e-03
   2.3656776e+02   2.3886640e+02   2.3431295e+02   1.7998229e-01   1.9158700e-02  -3.1141908e-03   4.5794269e-03  -3.2481977e-03
   2.3736969e+02   2.3967611e+02   2.3510723e+02   1.8029365e-01   1.9118777e-02  -3.0480774e-03   4.5316146e-03  -2.9174650e-03
   2.3817161e+02   2.4048583e+02   2.3590151e+02   1.8060179e-01   1.9080355e-02  -2.9835445e-03   4.4948957e-03  -3.0710582e-03
   2.3897354e+02   2.4129555e+02   2.3669579e+02   1.8090677e-01   1.9043376e-02  -2.9202744e-03   4.4469311e-03  -2.7939934e-03
   2.3977546e+02   2.4210526e+02   2.3749007e+02   1.8120867e-01   1.9007789e-02  -2.8586117e-03   4.4182413e-03  -3.5143935e-03
   2.4057739e+02   2.4291498e+02   2.3828435e+02   1.8150754e-01   1.8973539e-02  -2.7980406e-03   4.3627069e-03  -2.8942828e-03
