   Tcen(MeV)       Tup(MeV)        Tdown(MeV)      chi2           chi4             chi6           chi8             chi10
   3.4482759e+01   3.4817814e+01   3.4154091e+01   3.2385901e-09   3.0504913e-09   3.7564642e-09   1.5255606e-09   6.7601490e-09
   3.5284683e+01   3.5627530e+01   3.4948372e+01   5.1705635e-09   4.9285972e-09   5.8796160e-09   2.7323870e-09   1.0469282e-08
   3.6086608e+01   3.6437247e+01   3.5742653e+01   8.0909209e-09   7.7846331e-09   9.0461616e-09   4.6768855e-09   1.5917990e-08
   3.6888532e+01   3.7246964e+01   3.6536934e+01   1.2425102e-08   1.2041453e-08   1.3692883e-08   7.7167388e-09   2.3787359e-08
   3.7690457e+01   3.8056680e+01   3.7331215e+01   1.8745629e-08   1.8273845e-08   2.0400610e-08   1.2355402e-08   3.4965488e-08
   3.8492382e+01   3.8866397e+01   3.8125496e+01   2.7816580e-08   2.7239922e-08   2.9954278e-08   1.9245620e-08   5.0637277e-08
   3.9294306e+01   3.9676113e+01   3.8919778e+01   4.0637162e-08   3.9939881e-08   4.3363396e-08   2.9290513e-08   7.2286616e-08
   4.0096231e+01   4.0485830e+01   3.9714059e+01   5.8500153e-08   5.7666877e-08   6.1935189e-08   4.3662263e-08   1.0180923e-07
   4.0898156e+01   4.1295547e+01   4.0508340e+01   8.3057788e-08   8.2072483e-08   8.7334886e-08   6.3886788e-08   1.4155969e-07
   4.1700080e+01   4.2105263e+01   4.1302621e+01   1.1727466e-07   1.1093858e-07   1.3973515e-07   3.4992908e-08   2.9403572e-07
   4.2502005e+01   4.2914980e+01   4.2096902e+01   1.6047382e-07   1.6280145e-07   1.5582414e-07   1.6272858e-07   2.1752781e-07
   4.3303929e+01   4.3724696e+01   4.2891183e+01   2.2005471e-07   2.2155178e-07   2.1406367e-07   2.3496501e-07   2.5251197e-07
   4.4105854e+01   4.4534413e+01   4.3685465e+01   2.9907399e-07   2.9314088e-07   3.1980581e-07   2.2268196e-07   5.0485068e-07
   4.4907779e+01   4.5344130e+01   4.4479746e+01   4.0036356e-07   3.9241621e-07   4.3559540e-07   2.6009920e-07   7.6346082e-07
   4.5709703e+01   4.6153846e+01   4.5274027e+01   5.3019408e-07   5.2419337e-07   5.6448613e-07   3.7857893e-07   9.6598475e-07
   4.6511628e+01   4.6963563e+01   4.6068308e+01   6.9513509e-07   6.9782720e-07   7.0104749e-07   6.2889434e-07   1.0324876e-06
   4.7313553e+01   4.7773279e+01   4.6862589e+01   9.0509533e-07   9.1127556e-07   8.9728704e-07   8.8007954e-07   1.2175189e-06
   4.8115477e+01   4.8582996e+01   4.7656871e+01   1.1700802e-06   1.1730461e-06   1.1654585e-06   1.1340489e-06   1.5466060e-06
   4.8917402e+01   4.9392713e+01   4.8451152e+01   1.4998619e-06   1.4977041e-06   1.5108029e-06   1.4000785e-06   2.0680174e-06
   4.9719326e+01   5.0202429e+01   4.9245433e+01   1.9080942e-06   1.8946878e-06   1.9612750e-06   1.6361738e-06   2.9155540e-06
   5.0521251e+01   5.1012146e+01   5.0039714e+01   2.4075035e-06   2.3901808e-06   2.4795806e-06   2.0422869e-06   3.7319624e-06
   5.1323176e+01   5.1821862e+01   5.0833995e+01   3.0141637e-06   3.0048289e-06   3.0652839e-06   2.7050989e-06   4.3745018e-06
   5.2125100e+01   5.2631579e+01   5.1628276e+01   3.7505398e-06   3.7453192e-06   3.7904166e-06   3.4631288e-06   5.2287933e-06
   5.2927025e+01   5.3441296e+01   5.2422558e+01   4.6384301e-06   4.6327762e-06   4.6832112e-06   4.3060739e-06   6.4045612e-06
   5.3728949e+01   5.4251012e+01   5.3216839e+01   5.7015938e-06   5.6954983e-06   5.7516641e-06   5.3191870e-06   7.8004368e-06
   5.4530874e+01   5.5060729e+01   5.4011120e+01   6.9675676e-06   6.9610206e-06   7.0233471e-06   6.5295837e-06   9.4494250e-06
   5.5332799e+01   5.5870445e+01   5.4805401e+01   8.4670236e-06   8.4600222e-06   8.5289349e-06   7.9676721e-06   1.1387761e-05
   5.6134723e+01   5.6680162e+01   5.5599682e+01   1.0233968e-05   1.0226512e-05   1.0302462e-05   9.6671175e-06   1.3655657e-05
   5.6936648e+01   5.7489879e+01   5.6393963e+01   1.2305930e-05   1.2298025e-05   1.2381484e-05   1.1665142e-05   1.6297387e-05
   5.7738573e+01   5.8299595e+01   5.7188245e+01   1.4724152e-05   1.4715809e-05   1.4807287e-05   1.4002684e-05   1.9361414e-05
   5.8540497e+01   5.9109312e+01   5.7982526e+01   1.7533762e-05   1.7525004e-05   1.7625030e-05   1.6724686e-05   2.2900668e-05
   5.9342422e+01   5.9919028e+01   5.8776807e+01   2.0783950e-05   2.0774808e-05   2.0883971e-05   1.9880083e-05   2.6973025e-05
   6.0144346e+01   6.0728745e+01   5.9571088e+01   2.4528122e-05   2.4518645e-05   2.4637581e-05   2.3522176e-05   3.1641189e-05
   6.0946271e+01   6.1538462e+01   6.0365369e+01   2.8824049e-05   2.8814304e-05   2.8943735e-05   2.7708659e-05   3.6973247e-05
   6.1748196e+01   6.2348178e+01   6.1159651e+01   3.3734007e-05   3.3724085e-05   3.3864832e-05   3.2501822e-05   4.3042883e-05
   6.2550120e+01   6.3157895e+01   6.1953932e+01   3.9324896e-05   3.9314918e-05   3.9467939e-05   3.7968678e-05   4.9929777e-05
   6.3352045e+01   6.3967611e+01   6.2748213e+01   4.5668353e-05   4.5658482e-05   4.5824880e-05   4.4181256e-05   5.7719314e-05
   6.4153970e+01   6.4777328e+01   6.3542494e+01   5.2840846e-05   5.2831293e-05   5.3012403e-05   5.1216364e-05   6.6504305e-05
   6.4955894e+01   6.5587045e+01   6.4336775e+01   6.0923758e-05   6.0914793e-05   6.1112212e-05   5.9156137e-05   7.6788644e-05
   6.5757819e+01   6.6396761e+01   6.5131056e+01   7.0003457e-05   6.9995348e-05   7.0211759e-05   6.8083773e-05   8.8784792e-05
   6.6559743e+01   6.7206478e+01   6.5925338e+01   8.0171320e-05   8.0164692e-05   8.0400837e-05   7.8104683e-05   1.0274998e-04
   6.7361668e+01   6.8016194e+01   6.6719619e+01   9.1523842e-05   9.1519172e-05   9.1778730e-05   8.9303637e-05   1.1898653e-04
   6.8163593e+01   6.8825911e+01   6.7513900e+01   1.0416259e-04   1.0416058e-04   1.0444700e-04   1.0178981e-04   1.3484875e-04
   6.8965517e+01   6.9635628e+01   6.8308181e+01   1.1819423e-04   1.1819580e-04   1.1851328e-04   1.1567178e-04   1.5242825e-04
   6.9767442e+01   7.0445344e+01   6.9102462e+01   1.3373058e-04   1.3373682e-04   1.3409044e-04   1.3106582e-04   1.7194289e-04
   7.0569366e+01   7.1255061e+01   6.9896743e+01   1.5088856e-04   1.5090044e-04   1.5130149e-04   1.4805065e-04   1.9358843e-04
   7.1371291e+01   7.2064777e+01   7.0691025e+01   1.6979002e-04   1.6981055e-04   1.7025097e-04   1.6691924e-04   2.1750301e-04
   7.2173216e+01   7.2874494e+01   7.1485306e+01   1.9056214e-04   1.9059276e-04   1.9108778e-04   1.8764676e-04   2.4385663e-04
   7.2975140e+01   7.3684211e+01   7.2279587e+01   2.1333698e-04   2.1337903e-04   2.1395413e-04   2.1028855e-04   2.7277730e-04
   7.3777065e+01   7.4493927e+01   7.3073868e+01   2.3825143e-04   2.3830803e-04   2.3897840e-04   2.3507593e-04   3.0452056e-04
   7.4578990e+01   7.5303644e+01   7.3868149e+01   2.6544738e-04   2.6552303e-04   2.6629476e-04   2.6227268e-04   3.3932091e-04
   7.5380914e+01   7.6113360e+01   7.4662431e+01   2.9507161e-04   2.9517124e-04   2.9605731e-04   2.9200859e-04   3.7755779e-04
   7.6182839e+01   7.6923077e+01   7.5456712e+01   3.2727564e-04   3.2740572e-04   3.2841275e-04   3.2454393e-04   4.1951895e-04
   7.6984763e+01   7.7732794e+01   7.6250993e+01   3.6221587e-04   3.6238178e-04   3.6354598e-04   3.5984958e-04   4.6559918e-04
   7.7786688e+01   7.8542510e+01   7.7045274e+01   4.0005323e-04   4.0026190e-04   4.0162008e-04   3.9813845e-04   5.1599003e-04
   7.8588613e+01   7.9352227e+01   7.7839555e+01   4.4095330e-04   4.4121259e-04   4.4281322e-04   4.3954221e-04   5.7102224e-04
   7.9390537e+01   8.0161943e+01   7.8633836e+01   4.8508610e-04   4.8540612e-04   4.8729596e-04   4.8432872e-04   6.3101651e-04
   8.0192462e+01   8.0971660e+01   7.9428118e+01   5.3262632e-04   5.3301725e-04   5.3527386e-04   5.3248623e-04   6.9646394e-04
   8.0994387e+01   8.1781377e+01   8.0222399e+01   5.8375269e-04   5.8423107e-04   5.8688813e-04   5.8468500e-04   7.6791523e-04
   8.1796311e+01   8.2591093e+01   8.1016680e+01   6.3864870e-04   6.3923227e-04   6.4234489e-04   6.4106406e-04   8.4588836e-04
   8.2598236e+01   8.3400810e+01   8.1810961e+01   6.9750211e-04   6.9821166e-04   7.0184113e-04   7.0190424e-04   9.3078491e-04
   8.3400160e+01   8.4210526e+01   8.2605242e+01   7.6050517e-04   7.6136264e-04   7.6560170e-04   7.6730819e-04   1.0233120e-03
   8.4202085e+01   8.5020243e+01   8.3399523e+01   8.2785438e-04   8.2888367e-04   8.3385929e-04   8.3733827e-04   1.1239140e-03
   8.5004010e+01   8.5829960e+01   8.4193805e+01   8.9975037e-04   9.0098086e-04   9.0681556e-04   9.1243393e-04   1.2330258e-03
   8.5805934e+01   8.6639676e+01   8.4988086e+01   9.7639813e-04   9.7786416e-04   9.8468727e-04   9.9302576e-04   1.3601111e-03
   8.6607859e+01   8.7449393e+01   8.5782367e+01   1.0580072e-03   1.0597463e-03   1.0677295e-03   1.0791463e-03   1.4824847e-03
   8.7409783e+01   8.8259109e+01   8.6576648e+01   1.1447912e-03   1.1468478e-03   1.1561633e-03   1.1713530e-03   1.6218441e-03
   8.8211708e+01   8.9068826e+01   8.7370929e+01   1.2369684e-03   1.2393937e-03   1.2502137e-03   1.2703499e-03   1.7845105e-03
   8.9013633e+01   8.9878543e+01   8.8165210e+01   1.3347630e-03   1.3375794e-03   1.3508143e-03   1.3665201e-03   1.9612024e-03
   8.9815557e+01   9.0688259e+01   8.8959492e+01   1.4383969e-03   1.4417677e-03   1.4557186e-03   1.4966457e-03   2.1394280e-03
   9.0617482e+01   9.1497976e+01   8.9753773e+01   1.5481111e-03   1.5519958e-03   1.5689997e-03   1.6085554e-03   2.3212350e-03
   9.1419407e+01   9.2307692e+01   9.0548054e+01   1.6641369e-03   1.6686205e-03   1.6891495e-03   1.7238897e-03   2.5420654e-03
   9.2221331e+01   9.3117409e+01   9.1342335e+01   1.7867140e-03   1.7919535e-03   1.8152322e-03   1.8610184e-03   2.7929315e-03
   9.3023256e+01   9.3927126e+01   9.2136616e+01   1.9160912e-03   1.9222370e-03   1.9475829e-03   2.0224476e-03   3.0413370e-03
   9.3825180e+01   9.4736842e+01   9.2930898e+01   2.0525256e-03   2.0596428e-03   2.0880487e-03   2.1895792e-03   3.3274885e-03
   9.4627105e+01   9.5546559e+01   9.3725179e+01   2.1962808e-03   2.2043123e-03   2.2394462e-03   2.3265954e-03   3.6326852e-03
   9.5429030e+01   9.6356275e+01   9.4519460e+01   2.3476037e-03   2.3568041e-03   2.3977281e-03   2.4890904e-03   3.9530692e-03
   9.6230954e+01   9.7165992e+01   9.5313741e+01   2.5067662e-03   2.5174262e-03   2.5623838e-03   2.6925918e-03   4.3036001e-03
   9.7032879e+01   9.7975709e+01   9.6108022e+01   2.6740579e-03   2.6862458e-03   2.7374661e-03   2.8895749e-03   4.6942293e-03
   9.7834804e+01   9.8785425e+01   9.6902303e+01   2.8497560e-03   2.8636558e-03   2.9219285e-03   3.0985279e-03   5.1369908e-03
