#muB/T	T[MeV]	p/T^4	error	nB/T^3	error	s/T^4	error	e/T^4	error	nS/T^3	error	chiS2	error
1.0	149	6.629e-01	8.231e-02	9.593e-02	2.287e-03	5.123e+00	5.957e-01	4.556e+00	6.001e-01	-5.246e-02	2.801e-03	2.404e-01	9.680e-03
1.0	150	6.797e-01	8.249e-02	1.009e-01	2.218e-03	5.246e+00	5.619e-01	4.668e+00	5.653e-01	-5.550e-02	2.685e-03	2.477e-01	1.154e-02
1.0	151	6.969e-01	7.640e-02	1.058e-01	2.287e-03	5.367e+00	4.808e-01	4.776e+00	4.853e-01	-5.859e-02	2.701e-03	2.555e-01	1.258e-02
1.0	152	7.148e-01	6.868e-02	1.107e-01	2.316e-03	5.484e+00	4.015e-01	4.880e+00	4.104e-01	-6.172e-02	2.765e-03	2.640e-01	1.198e-02
1.0	153	7.331e-01	6.701e-02	1.155e-01	2.187e-03	5.598e+00	3.951e-01	4.980e+00	4.087e-01	-6.489e-02	2.697e-03	2.731e-01	1.080e-02
1.0	154	7.517e-01	7.230e-02	1.203e-01	2.037e-03	5.710e+00	4.534e-01	5.078e+00	4.676e-01	-6.810e-02	2.531e-03	2.828e-01	1.105e-02
1.0	155	7.707e-01	7.716e-02	1.250e-01	2.032e-03	5.821e+00	4.941e-01	5.175e+00	5.058e-01	-7.134e-02	2.449e-03	2.928e-01	1.260e-02
1.0	156	7.900e-01	7.541e-02	1.295e-01	2.158e-03	5.931e+00	4.633e-01	5.271e+00	4.712e-01	-7.462e-02	2.516e-03	3.030e-01	1.339e-02
1.0	157	8.094e-01	7.045e-02	1.340e-01	2.237e-03	6.042e+00	3.941e-01	5.366e+00	4.002e-01	-7.794e-02	2.606e-03	3.132e-01	1.211e-02
1.0	158	8.289e-01	6.836e-02	1.382e-01	2.152e-03	6.153e+00	3.546e-01	5.462e+00	3.645e-01	-8.128e-02	2.580e-03	3.235e-01	1.044e-02
1.0	159	8.484e-01	7.085e-02	1.424e-01	1.992e-03	6.264e+00	3.775e-01	5.558e+00	3.954e-01	-8.465e-02	2.561e-03	3.339e-01	1.083e-02
1.0	160	8.679e-01	7.347e-02	1.463e-01	1.882e-03	6.377e+00	4.118e-01	5.656e+00	4.363e-01	-8.806e-02	2.734e-03	3.444e-01	1.275e-02
1.0	161	8.872e-01	7.187e-02	1.502e-01	1.866e-03	6.491e+00	4.007e-01	5.754e+00	4.270e-01	-9.149e-02	3.041e-03	3.549e-01	1.365e-02
1.0	162	9.066e-01	6.903e-02	1.539e-01	1.859e-03	6.607e+00	3.585e-01	5.855e+00	3.799e-01	-9.497e-02	3.243e-03	3.655e-01	1.291e-02
1.0	163	9.260e-01	6.897e-02	1.576e-01	1.785e-03	6.727e+00	3.294e-01	5.958e+00	3.371e-01	-9.847e-02	3.154e-03	3.761e-01	1.288e-02
1.0	164	9.455e-01	7.103e-02	1.611e-01	1.684e-03	6.850e+00	3.369e-01	6.066e+00	3.280e-01	-1.020e-01	2.929e-03	3.866e-01	1.484e-02
1.0	165	9.653e-01	7.015e-02	1.645e-01	1.614e-03	6.978e+00	3.535e-01	6.177e+00	3.349e-01	-1.055e-01	2.866e-03	3.970e-01	1.715e-02
1.0	166	9.855e-01	6.272e-02	1.678e-01	1.582e-03	7.112e+00	3.417e-01	6.294e+00	3.225e-01	-1.089e-01	3.028e-03	4.073e-01	1.764e-02
1.0	167	1.006e+00	5.444e-02	1.710e-01	1.545e-03	7.249e+00	3.146e-01	6.414e+00	3.020e-01	-1.122e-01	3.169e-03	4.175e-01	1.641e-02
1.0	168	1.027e+00	5.378e-02	1.742e-01	1.490e-03	7.389e+00	3.034e-01	6.536e+00	3.014e-01	-1.153e-01	3.026e-03	4.277e-01	1.538e-02
