#muB/T	T[MeV]	p/T^4	error	nB/T^3	error	s/T^4	error	e/T^4	error	nS/T^3	error	chiS2	error
2.0	130	4.673e-01	1.113e-01	9.717e-02	4.844e-03	3.466e+00	4.826e-01	3.193e+00	4.837e-01	-4.596e-02	3.784e-03	1.502e-01	5.454e-03
2.0	131	4.813e-01	1.078e-01	1.039e-01	4.977e-03	3.603e+00	4.641e-01	3.329e+00	4.575e-01	-4.976e-02	3.794e-03	1.592e-01	6.917e-03
2.0	132	4.960e-01	9.811e-02	1.113e-01	5.660e-03	3.746e+00	4.340e-01	3.473e+00	4.225e-01	-5.366e-02	3.563e-03	1.678e-01	7.805e-03
2.0	133	5.113e-01	9.359e-02	1.192e-01	6.843e-03	3.897e+00	4.449e-01	3.624e+00	4.399e-01	-5.772e-02	3.674e-03	1.759e-01	7.246e-03
2.0	134	5.273e-01	9.850e-02	1.277e-01	7.899e-03	4.054e+00	4.938e-01	3.782e+00	5.041e-01	-6.205e-02	4.241e-03	1.837e-01	7.071e-03
2.0	135	5.439e-01	1.051e-01	1.366e-01	8.386e-03	4.219e+00	5.289e-01	3.948e+00	5.546e-01	-6.671e-02	4.751e-03	1.913e-01	7.701e-03
2.0	136	5.613e-01	1.049e-01	1.461e-01	8.551e-03	4.389e+00	5.178e-01	4.120e+00	5.536e-01	-7.180e-02	4.802e-03	1.991e-01	7.577e-03
2.0	137	5.793e-01	1.004e-01	1.559e-01	8.751e-03	4.564e+00	4.958e-01	4.297e+00	5.328e-01	-7.730e-02	4.783e-03	2.071e-01	6.839e-03
2.0	138	5.981e-01	9.770e-02	1.660e-01	9.030e-03	4.741e+00	5.045e-01	4.475e+00	5.329e-01	-8.311e-02	5.326e-03	2.151e-01	7.081e-03
2.0	139	6.175e-01	9.823e-02	1.764e-01	9.186e-03	4.918e+00	5.371e-01	4.653e+00	5.528e-01	-8.917e-02	6.277e-03	2.232e-01	8.077e-03
2.0	140	6.378e-01	9.709e-02	1.870e-01	9.195e-03	5.092e+00	5.446e-01	4.828e+00	5.503e-01	-9.539e-02	6.977e-03	2.314e-01	8.868e-03
2.0	141	6.587e-01	8.931e-02	1.976e-01	9.288e-03	5.260e+00	4.936e-01	4.997e+00	4.931e-01	-1.017e-01	7.051e-03	2.397e-01	1.038e-02
2.0	142	6.803e-01	8.040e-02	2.083e-01	9.546e-03	5.424e+00	4.316e-01	5.161e+00	4.274e-01	-1.081e-01	6.851e-03	2.486e-01	1.247e-02
2.0	143	7.024e-01	7.874e-02	2.190e-01	9.788e-03	5.583e+00	4.327e-01	5.318e+00	4.277e-01	-1.146e-01	6.773e-03	2.582e-01	1.341e-02
2.0	144	7.248e-01	8.490e-02	2.295e-01	9.797e-03	5.737e+00	5.040e-01	5.471e+00	5.013e-01	-1.212e-01	6.855e-03	2.688e-01	1.256e-02
2.0	145	7.475e-01	9.060e-02	2.398e-01	9.673e-03	5.887e+00	5.792e-01	5.619e+00	5.799e-01	-1.278e-01	6.804e-03	2.803e-01	1.256e-02
2.0	146	7.703e-01	8.912e-02	2.498e-01	9.605e-03	6.033e+00	6.106e-01	5.762e+00	6.146e-01	-1.345e-01	6.536e-03	2.923e-01	1.440e-02
2.0	147	7.933e-01	8.414e-02	2.596e-01	9.612e-03	6.175e+00	6.143e-01	5.901e+00	6.205e-01	-1.413e-01	6.375e-03	3.046e-01	1.522e-02
2.0	148	8.165e-01	8.188e-02	2.690e-01	9.541e-03	6.311e+00	6.144e-01	6.033e+00	6.207e-01	-1.481e-01	6.506e-03	3.170e-01	1.329e-02
2.0	149	8.401e-01	8.353e-02	2.781e-01	9.350e-03	6.441e+00	6.105e-01	6.158e+00	6.152e-01	-1.550e-01	6.770e-03	3.295e-01	1.177e-02
